StudentID,Last Name,First Name,Email,Project group,Discipline,Coord/Shaper,Gender,ESL
40000350,Abernathy,Kristin,s4000035@student.uq.edu.au,P01,Software,0,Male,English
40000360,Crist,Mitchel,s4000036@student.uq.edu.au,P01,Electrical,0,Female,English
40000370,Lang,Paxton,s4000037@student.uq.edu.au,P01,Software,1,Male,English
40000380,Welch,Eusebio,s4000038@student.uq.edu.au,P01,Mechatronic,1,Male,English
40000390,Pfeffer,Darrin,s4000039@student.uq.edu.au,P01,Mechanical,0,Male,Other
40000400,Rolfson,Ava,s4000040@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000410,Daugherty,Kara,s4000041@student.uq.edu.au,P01,Mechanical,0,Male,English
40000420,McClure,Vernon,s4000042@student.uq.edu.au,P01,Mechatronic,1,Male,English
40000430,Goldner,Nick,s4000043@student.uq.edu.au,P01,Electrical,0,Male,English
40000440,Mante,Winnifred,s4000044@student.uq.edu.au,P01,Software,0,Male,English
40000450,Fahey,Warren,s4000045@student.uq.edu.au,P01,Mechanical,0,Male,English
40000460,Pfannerstill,Jammie,s4000046@student.uq.edu.au,P01,Software,0,Male,English
40000470,Grimes,Burdette,s4000047@student.uq.edu.au,P01,Software,0,Male,English
40000480,Gerlach,Name,s4000048@student.uq.edu.au,P01,,,Male,English
40000490,Turner,Johathan,s4000049@student.uq.edu.au,P01,Mechatronic,0,Female,English
40000500,Ebert,Nicholaus,s4000050@student.uq.edu.au,P01,Mechatronic,1,Male,English
40000510,Balistreri,Durward,s4000051@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000520,Romaguera,Serena,s4000052@student.uq.edu.au,P01,Software,0,Male,English
40000530,Romaguera,Aurelio,s4000053@student.uq.edu.au,P01,BLANK,0,Male,English
40000540,Marvin,Burdette,s4000054@student.uq.edu.au,P01,Mechanical,0,Male,English
40000550,Schulist,Myra,s4000055@student.uq.edu.au,P01,,,Male,English
40000560,Pagac,Milan,s4000056@student.uq.edu.au,P01,Mechatronic,0,Female,English
40000570,Mayer,Elna,s4000057@student.uq.edu.au,P01,Mechanical,0,Female,English
40000580,Ratke,Lorine,s4000058@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000590,Schuster,Claudine,s4000059@student.uq.edu.au,P01,Mechatronic,0,Female,English
40000600,Rowe,Marcelo,s4000060@student.uq.edu.au,P01,Mechatronic,0,Female,English
40000610,Hamill,Makenna,s4000061@student.uq.edu.au,P01,Electrical,0,Male,English
40000620,Brown,Greg,s4000062@student.uq.edu.au,P01,Mechanical,0,Male,English
40000630,Wyman,Krystina,s4000063@student.uq.edu.au,P01,Software,0,Male,English
40000640,Kuhic,Tiara,s4000064@student.uq.edu.au,P01,Electrical,0,Male,English
40000650,Erdman,Uriah,s4000065@student.uq.edu.au,P01,Software,0,Male,English
40000660,Smitham,Phoebe,s4000066@student.uq.edu.au,P01,Mechanical,0,Male,English
40000670,Kiehn,Larue,s4000067@student.uq.edu.au,P01,Software,0,Female,English
40000680,Ullrich,Baylee,s4000068@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000690,Luettgen,Ted,s4000069@student.uq.edu.au,P01,Mechanical,1,Male,English
40000700,Upton,Estevan,s4000070@student.uq.edu.au,P01,Software,0,Male,English
40000710,Lind,Peter,s4000071@student.uq.edu.au,P01,Software,0,Male,English
40000720,Schultz,Pete,s4000072@student.uq.edu.au,P01,Mechatronic,1,Male,English
40000730,Windler,Ashton,s4000073@student.uq.edu.au,P01,Electrical,0,Male,English
40000740,Thiel,Osbaldo,s4000074@student.uq.edu.au,P01,Mechanical,0,Male,English
40000750,Mueller,Elinore,s4000075@student.uq.edu.au,P01,Software,0,Male,English
40000760,Pollich,Destany,s4000076@student.uq.edu.au,P01,Electrical,0,Male,English
40000770,Gusikowski,Antonette,s4000077@student.uq.edu.au,P01,Mechanical,1,Male,English
40000780,Howe,Cooper,s4000078@student.uq.edu.au,P01,Mechanical,0,Male,English
40000790,Stark,Reyna,s4000079@student.uq.edu.au,P01,Mechanical,0,Male,English
40000800,Graham,Bernita,s4000080@student.uq.edu.au,P01,Software,0,Male,English
40000810,Little,Lucile,s4000081@student.uq.edu.au,P01,Electrical,0,Male,English
40000820,Jerde,Isaac,s4000082@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000830,Fisher,Maryjane,s4000083@student.uq.edu.au,P01,Electrical,0,Male,English
40000840,Schowalter,Reid,s4000084@student.uq.edu.au,P01,Mechanical,0,Female,Other
40000850,Rosenbaum,Tomas,s4000085@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000860,Carroll,Shania,s4000086@student.uq.edu.au,P01,Software,0,Male,English
40000870,Waters,Fermin,s4000087@student.uq.edu.au,P01,,1,Male,English
40000880,Hintz,Lonny,s4000088@student.uq.edu.au,P01,Mechanical,0,Male,English
40000890,Gorczany,Reina,s4000089@student.uq.edu.au,P01,Software,1,Male,English
40000900,Upton,Cindy,s4000090@student.uq.edu.au,P01,Mechatronic,0,Male,English
40000910,Osinski,Stacey,s4000091@student.uq.edu.au,P01,Electrical,1,Male,English
40000920,Auer,Pansy,s4000092@student.uq.edu.au,P01,Electrical,0,Male,English
40000930,Brakus,Harold,s4000093@student.uq.edu.au,P01,Mechanical,0,Male,English
40000940,Morar,Isac,s4000094@student.uq.edu.au,P01,Mechanical,1,Male,English
40000950,Walter,Hudson,s4000095@student.uq.edu.au,P01,Mechanical,0,Male,English
40000960,Gerhold,Dashawn,s4000096@student.uq.edu.au,P01,Mechanical,0,Male,English
40000970,Hane,Genevieve,s4000097@student.uq.edu.au,P02,Mechanical,0,Male,English
40000980,Mohr,Cydney,s4000098@student.uq.edu.au,P02,Mechanical,0,Female,Other
40000990,Prohaska,Estell,s4000099@student.uq.edu.au,P02,Mechanical,0,Female,English
40001000,Auer,June,s4000100@student.uq.edu.au,P02,,,Male,English
40001010,Hammes,Alexis,s4000101@student.uq.edu.au,P02,Electrical,1,Male,English
40001020,Welch,Demetrius,s4000102@student.uq.edu.au,P02,,,Male,English
40001030,Hermann,Leta,s4000103@student.uq.edu.au,P02,Mechanical,1,Male,Other
40001040,Grant,Gerald,s4000104@student.uq.edu.au,P02,,,Male,English
40001050,Glover,Ramon,s4000105@student.uq.edu.au,P02,Software,0,Female,Other
40001060,Kemmer,General,s4000106@student.uq.edu.au,P02,Electrical,0,Female,English
40001070,Hudson,Ignatius,s4000107@student.uq.edu.au,P02,Mechatronic,0,Male,English
40001080,Rath,Ross,s4000108@student.uq.edu.au,P02,Mechanical,0,Male,English
40001090,Lakin,Cristina,s4000109@student.uq.edu.au,P02,Mechanical,0,Male,Other
40001100,Zemlak,Leanne,s4000110@student.uq.edu.au,P02,Software,0,Male,English
40001110,Schinner,Leonora,s4000111@student.uq.edu.au,P02,Mechanical,0,Male,English
40001120,Schiller,Penelope,s4000112@student.uq.edu.au,P02,Software,0,Male,English
40001130,Windler,Stephania,s4000113@student.uq.edu.au,P02,Mechatronic,0,Male,English
40001140,Quigley,Sharon,s4000114@student.uq.edu.au,P02,Electrical,1,Male,English
40001150,Ruecker,Jairo,s4000115@student.uq.edu.au,P02,Software,0,Male,Other
40001160,Krajcik,Wilmer,s4000116@student.uq.edu.au,P02,BLANK,1,Male,English
40001170,Wolff,Leland,s4000117@student.uq.edu.au,P02,Mechanical,0,Male,English
40001180,West,Idella,s4000118@student.uq.edu.au,P02,Electrical,0,Male,Other
40001190,Kovacek,Mack,s4000119@student.uq.edu.au,P02,,,,Other
40001200,Lang,Brycen,s4000120@student.uq.edu.au,P02,Electrical,0,Male,Other
40001210,Morar,Jean,s4000121@student.uq.edu.au,P02,Mechanical,1,Female,English
40001220,Stokes,Roxanne,s4000122@student.uq.edu.au,P02,Electrical,1,Male,English
40001230,Hoeger,Darius,s4000123@student.uq.edu.au,P02,Software,0,Male,English
40001240,Monahan,Pansy,s4000124@student.uq.edu.au,P02,Mechatronic,1,Male,English
40001250,Dare,Ashley,s4000125@student.uq.edu.au,P02,Mechanical,1,Female,English
40001260,Ledner,Halle,s4000126@student.uq.edu.au,P02,Mechanical,0,Male,English
40001270,Hickle,Phoebe,s4000127@student.uq.edu.au,P02,Mechanical,0,Male,English
40001280,Padberg,Werner,s4000128@student.uq.edu.au,P02,Mechanical,0,Male,Other
40001290,Hyatt,Alf,s4000129@student.uq.edu.au,P02,Software,0,Male,English
40001300,Daugherty,Sadie,s4000130@student.uq.edu.au,P02,Mechatronic,1,Male,English
40001310,Ryan,Rachel,s4000131@student.uq.edu.au,P02,Mechanical,0,Male,English
40001320,Dietrich,Queen,s4000132@student.uq.edu.au,P02,Mechanical,0,Male,Other
40001330,Kris,Vernice,s4000133@student.uq.edu.au,P02,Electrical,0,Male,English
40001340,Carter,Marta,s4000134@student.uq.edu.au,P02,Electrical,1,Female,Other
40001350,Boyer,Maia,s4000135@student.uq.edu.au,P02,Mechatronic,1,Male,English
40001360,Miller,Chelsea,s4000136@student.uq.edu.au,P02,Electrical,0,Male,Other
40001370,Schaden,Ludie,s4000137@student.uq.edu.au,P02,Mechatronic,1,Male,English
40001380,Sanford,Missouri,s4000138@student.uq.edu.au,P02,Mechanical,0,Male,English
40001390,Cronin,Nikita,s4000139@student.uq.edu.au,P02,Electrical,0,Female,English
40001400,Nitzsche,Cornelius,s4000140@student.uq.edu.au,P02,Electrical,0,Male,English
40001410,Kozey,Carmen,s4000141@student.uq.edu.au,P02,MULT,0,Female,English
40001420,Doyle,Murl,s4000142@student.uq.edu.au,P02,Mechanical,0,Male,English
40001430,Heller,Randal,s4000143@student.uq.edu.au,P02,Mechanical,0,Male,English
40001440,Fahey,Jennyfer,s4000144@student.uq.edu.au,P02,Electrical,0,Male,English
40001450,Sanford,Tanya,s4000145@student.uq.edu.au,P02,Electrical,0,Female,English
40001460,Lehner,Velva,s4000146@student.uq.edu.au,P02,Electrical,1,Male,English
40001470,Kris,Otto,s4000147@student.uq.edu.au,P02,Electrical,0,Female,English
40001480,Wehner,Bernardo,s4000148@student.uq.edu.au,P02,Mechanical,0,Male,English
40001490,Schumm,Jeff,s4000149@student.uq.edu.au,P02,Mechanical,0,Female,English
40001500,Okuneva,Kenneth,s4000150@student.uq.edu.au,P02,Mechanical,0,Male,English
40001510,Jenkins,Mose,s4000151@student.uq.edu.au,P02,Software,0,Male,English
40001520,Gorczany,Kade,s4000152@student.uq.edu.au,P02,Mechanical,0,Male,English
40001530,Nikolaus,Marques,s4000153@student.uq.edu.au,P02,Software,0,Male,Other
40001540,Muller,Randi,s4000154@student.uq.edu.au,P02,Mechanical,1,Female,Other
40001550,Ruecker,Adolph,s4000155@student.uq.edu.au,P02,,,Male,Other
40001560,Hamill,Jamil,s4000156@student.uq.edu.au,P02,Electrical,0,Male,English
40001570,Schamberger,Sedrick,s4000157@student.uq.edu.au,P02,Electrical,0,Male,English
40001580,Lesch,Shyann,s4000158@student.uq.edu.au,P02,Mechanical,0,Male,English
40001590,Grimes,Vance,s4000159@student.uq.edu.au,P02,Electrical,0,Female,English
40001600,Gerhold,Ford,s4000160@student.uq.edu.au,P02,Software,0,Male,English
40001610,Mills,Keegan,s4000161@student.uq.edu.au,P02,Mechanical,1,Male,English
40001620,Ullrich,Everette,s4000162@student.uq.edu.au,P02,Mechanical,0,Male,English
40001630,Turner,Eino,s4000163@student.uq.edu.au,P02,Mechanical,1,Male,English
40001640,Turcotte,Keon,s4000164@student.uq.edu.au,P02,Mechatronic,0,Male,English
40001650,Bahringer,Jameson,s4000165@student.uq.edu.au,P02,Software,0,Male,English
40001660,Mueller,Mireya,s4000166@student.uq.edu.au,P02,Mechanical,0,Male,English
40001670,O'Kon,Jannie,s4000167@student.uq.edu.au,P02,Mechanical,0,Male,English
40001680,Hermiston,Jessie,s4000168@student.uq.edu.au,P02,Software,0,Male,English
40001690,Ledner,Hollis,s4000169@student.uq.edu.au,P02,Mechanical,0,Female,English
40001700,Flatley,Mable,s4000170@student.uq.edu.au,P02,Mechanical,0,Male,Other
40001710,Miller,Pamela,s4000171@student.uq.edu.au,P02,Mechanical,0,Male,English
40001720,Blick,Consuelo,s4000172@student.uq.edu.au,P02,Electrical,0,Male,English
40001730,Herzog,Lexi,s4000173@student.uq.edu.au,P02,Mechanical,1,Male,English
40001740,Lakin,Chadrick,s4000174@student.uq.edu.au,P02,Software,0,Male,English
40001750,Hand,Hailey,s4000175@student.uq.edu.au,P02,Mechanical,0,Female,English
40001760,Yundt,Emanuel,s4000176@student.uq.edu.au,P02,Mechatronic,0,Male,English
40001770,Schuppe,Adele,s4000177@student.uq.edu.au,P02,Software,0,Male,English
40001780,Funk,Yadira,s4000178@student.uq.edu.au,P02,Mechanical,0,Male,English
40001790,Sauer,Alycia,s4000179@student.uq.edu.au,P02,Mechanical,0,Male,English
40001800,Herzog,Gabe,s4000180@student.uq.edu.au,P02,Electrical,1,Male,English
40001810,Runolfsson,Maud,s4000181@student.uq.edu.au,P02,,0,Male,English
40001820,Hilpert,Kari,s4000182@student.uq.edu.au,P02,Mechatronic,1,Male,English
40001830,Haag,Jannie,s4000183@student.uq.edu.au,P02,Mechatronic,0,Male,English
40001840,Hermann,Claud,s4000184@student.uq.edu.au,P02,Electrical,0,Female,English
40001850,Doyle,Clovis,s4000185@student.uq.edu.au,P02,Mechanical,0,Male,English
40001860,Kautzer,Theodora,s4000186@student.uq.edu.au,P02,Mechanical,0,Male,English
40001870,Kreiger,Deon,s4000187@student.uq.edu.au,P02,Mechanical,0,Male,English
40001880,Koepp,Jamal,s4000188@student.uq.edu.au,P02,Mechanical,1,Male,English
40001890,Schumm,Edmond,s4000189@student.uq.edu.au,P02,Mechanical,0,Male,English
40001900,Welch,Clementina,s4000190@student.uq.edu.au,P02,Software,1,Male,English
40001910,Morissette,Katelin,s4000191@student.uq.edu.au,P02,Software,1,Female,English
40001920,Bahringer,Chanelle,s4000192@student.uq.edu.au,P02,,0,Male,English
40001930,Kshlerin,Davon,s4000193@student.uq.edu.au,P03,Mechatronic,1,Male,English
40001940,Frami,Joyce,s4000194@student.uq.edu.au,P03,Electrical,0,Female,English
40001950,Waelchi,Evert,s4000195@student.uq.edu.au,P03,Electrical,1,Male,English
40001960,Kiehn,Edna,s4000196@student.uq.edu.au,P03,Electrical,0,Female,Other
40001970,Moore,Kenton,s4000197@student.uq.edu.au,P03,Electrical,0,Male,English
40001980,Abbott,Joanie,s4000198@student.uq.edu.au,P03,Software,0,Male,English
40001990,Larkin,Blake,s4000199@student.uq.edu.au,P03,Mechanical,1,Male,English
40002000,Bode,Silas,s4000200@student.uq.edu.au,P03,Mechatronic,0,Male,English
40002010,Medhurst,Michaela,s4000201@student.uq.edu.au,P03,Software,0,Male,English
40002020,Rath,Dillon,s4000202@student.uq.edu.au,P03,,,,Other
40002030,Goodwin,Wyatt,s4000203@student.uq.edu.au,P03,Mechanical,0,Male,English
40002040,Stokes,Giovanny,s4000204@student.uq.edu.au,P03,,,,Other
40002050,Will,Melba,s4000205@student.uq.edu.au,P03,Electrical,0,Male,English
40002060,Boehm,Christina,s4000206@student.uq.edu.au,P03,Electrical,0,Male,English
40002070,Hayes,Georgette,s4000207@student.uq.edu.au,P03,,1,Male,English
40002080,Barton,Jovany,s4000208@student.uq.edu.au,P03,Electrical,0,Male,English
40002090,Harber,Makayla,s4000209@student.uq.edu.au,P03,Software,1,Male,English
40002100,Considine,Katherine,s4000210@student.uq.edu.au,P03,Electrical,0,Male,English
40002110,McClure,Marisol,s4000211@student.uq.edu.au,P03,Mechanical,0,Male,English
40002120,Kassulke,Alanna,s4000212@student.uq.edu.au,P03,Electrical,0,Male,English
40002130,Hermann,Brown,s4000213@student.uq.edu.au,P03,Electrical,1,Male,English
40002140,Hagenes,Rhianna,s4000214@student.uq.edu.au,P03,Electrical,0,Male,English
40002150,Lynch,Dortha,s4000215@student.uq.edu.au,P03,Electrical,1,Male,English
40002160,Johnson,Rosamond,s4000216@student.uq.edu.au,P03,Mechanical,1,Male,English
40002170,Prosacco,Reinhold,s4000217@student.uq.edu.au,P03,Software,1,Male,English
40002180,Zieme,Daphne,s4000218@student.uq.edu.au,P03,Mechanical,0,Male,English
40002190,Weissnat,Tracey,s4000219@student.uq.edu.au,P03,,,Male,English
40002200,Volkman,Roderick,s4000220@student.uq.edu.au,P03,Mechanical,1,Male,Other
40002210,Schuster,Dedric,s4000221@student.uq.edu.au,P03,,0,Male,Other
40002220,Sauer,Betty,s4000222@student.uq.edu.au,P03,,1,Male,Other
40002230,Friesen,Heaven,s4000223@student.uq.edu.au,P03,Software,0,Female,Other
40002240,Kshlerin,Presley,s4000224@student.uq.edu.au,P03,Mechatronic,0,,Other
40002250,VonRueden,Kari,s4000225@student.uq.edu.au,P03,Electrical,1,Female,English
40002260,White,Patricia,s4000226@student.uq.edu.au,P03,Mechatronic,1,Male,Other
40002270,Hauck,Dahlia,s4000227@student.uq.edu.au,P03,Electrical,0,Male,English
40002280,Parisian,Raymundo,s4000228@student.uq.edu.au,P03,Electrical,0,Male,English
40002290,Leannon,Joan,s4000229@student.uq.edu.au,P03,Software,0,Male,English
40002300,Torphy,Kathryne,s4000230@student.uq.edu.au,P03,Mechanical,0,Male,English
40002310,Corwin,Soledad,s4000231@student.uq.edu.au,P03,Electrical,0,Male,English
40002320,Stokes,Zul,s4000232@student.uq.edu.au,P03,Electrical,1,Male,English
40002330,Haag,Sherwood,s4000233@student.uq.edu.au,P03,Mechanical,0,Female,English
40002340,Torphy,Tara,s4000234@student.uq.edu.au,P03,Electrical,0,Female,Other
40002350,Christiansen,Kiley,s4000235@student.uq.edu.au,P03,Software,1,Female,English
40002360,Jacobs,Alivia,s4000236@student.uq.edu.au,P03,Electrical,0,Female,English
40002370,Heaney,Elroy,s4000237@student.uq.edu.au,P03,Mechanical,0,Male,English
40002380,Bogisich,Roberta,s4000238@student.uq.edu.au,P03,Mechatronic,0,Male,English
40002390,Kunze,Iva,s4000239@student.uq.edu.au,P03,Electrical,0,Male,English
40002400,Beahan,Dusty,s4000240@student.uq.edu.au,P03,Electrical,1,Male,English
40002410,Hodkiewicz,Kenneth,s4000241@student.uq.edu.au,P03,Mechanical,0,Male,English
40002420,Runte,Aryanna,s4000242@student.uq.edu.au,P03,Software,0,Male,English
40002430,Mills,Savanna,s4000243@student.uq.edu.au,P03,Electrical,1,Male,Other
40002440,Swaniawski,Geo,s4000244@student.uq.edu.au,P03,Software,0,Male,Other
40002450,Prohaska,Dejuan,s4000245@student.uq.edu.au,P03,Mechanical,0,Female,English
40002460,Kuhn,Ellie,s4000246@student.uq.edu.au,P03,Electrical,0,Male,English
40002470,Maggio,Marisol,s4000247@student.uq.edu.au,P03,Electrical,0,Male,English
40002480,Feest,Horacio,s4000248@student.uq.edu.au,P03,Mechanical,0,Male,English
40002490,Frami,Theodore,s4000249@student.uq.edu.au,P03,Electrical,0,Male,Other
40002500,Connelly,Branson,s4000250@student.uq.edu.au,P03,Mechanical,0,Male,English
40002510,Hansen,Syble,s4000251@student.uq.edu.au,P03,Mechanical,0,Male,English
40002520,Haley,Justus,s4000252@student.uq.edu.au,P03,,,Male,English
40002530,Feil,Molly,s4000253@student.uq.edu.au,P03,Mechanical,0,Female,English
40002540,Roberts,Lorenzo,s4000254@student.uq.edu.au,P03,Software,0,Male,English
40002550,Simonis,Lurline,s4000255@student.uq.edu.au,P03,Electrical,0,Female,Other
40002560,Wolff,Nya,s4000256@student.uq.edu.au,P03,Mechatronic,0,Male,English
40002570,Streich,Ara,s4000257@student.uq.edu.au,P03,,,Female,Other
40002580,Weimann,Gabriel,s4000258@student.uq.edu.au,P03,Mechanical,0,Male,English
40002590,Hickle,Hellen,s4000259@student.uq.edu.au,P03,Electrical,0,Male,English
40002600,Nitzsche,Abner,s4000260@student.uq.edu.au,P03,Mechanical,0,Female,Other
40002610,Wehner,Max,s4000261@student.uq.edu.au,P03,Electrical,0,Male,English
40002620,Anderson,Audreanne,s4000262@student.uq.edu.au,P03,Software,1,Male,English
40002630,King,Valentine,s4000263@student.uq.edu.au,P03,Software,1,Female,English
40002640,Prohaska,William,s4000264@student.uq.edu.au,P03,Electrical,0,Female,English
40002650,Berge,Josiah,s4000265@student.uq.edu.au,P03,Mechanical,0,Male,English
40002660,Bednar,Nikita,s4000266@student.uq.edu.au,P03,Mechatronic,0,Female,English
40002670,Pollich,Breana,s4000267@student.uq.edu.au,P03,Electrical,1,Male,English
40002680,Kuphal,Thaddeus,s4000268@student.uq.edu.au,P03,Mechanical,0,Male,English
40002690,Murphy,Alexanne,s4000269@student.uq.edu.au,P03,Mechatronic,0,Male,English
40002700,Heaney,Justine,s4000270@student.uq.edu.au,P03,Software,0,Male,English
40002710,Bode,Ollie,s4000271@student.uq.edu.au,P03,Software,0,Male,English
40002720,McClure,Keaton,s4000272@student.uq.edu.au,P03,Mechanical,0,Male,English
40002730,Botsford,Brennon,s4000273@student.uq.edu.au,P03,Electrical,1,Male,English
40002740,Deckow,Rashad,s4000274@student.uq.edu.au,P03,Electrical,0,Male,Other
40002750,Homenick,Laurianne,s4000275@student.uq.edu.au,P03,Electrical,0,Male,English
40002760,Lowe,Sandra,s4000276@student.uq.edu.au,P03,Mechanical,1,Male,English
40002770,Bogisich,Tyson,s4000277@student.uq.edu.au,P03,Electrical,0,Male,English
40002780,Gerhold,Dameon,s4000278@student.uq.edu.au,P03,Electrical,0,Male,English
40002790,Fritsch,Kara,s4000279@student.uq.edu.au,P03,Software,0,Male,English
40002800,Haley,Cathrine,s4000280@student.uq.edu.au,P03,Mechanical,0,Male,English
40002810,Price,Eliane,s4000281@student.uq.edu.au,P03,Software,0,Male,English
40002820,Stroman,Rosetta,s4000282@student.uq.edu.au,P03,Electrical,0,Male,English
40002830,McClure,Trevion,s4000283@student.uq.edu.au,P03,Mechanical,0,Male,English
40002840,Cormier,Caroline,s4000284@student.uq.edu.au,P03,Mechanical,0,Female,English
40002850,Moore,Clementine,s4000285@student.uq.edu.au,P03,Electrical,0,Male,English
40002860,Gleichner,Mariana,s4000286@student.uq.edu.au,P03,Software,0,Male,English
40002870,O'Keefe,Jadon,s4000287@student.uq.edu.au,P03,Electrical,1,Male,English
40002880,Mayert,Nella,s4000288@student.uq.edu.au,P04,Electrical,,Female,English
40002890,Schmitt,Davon,s4000289@student.uq.edu.au,P04,Electrical,1,Female,Other
40002900,Beatty,Mercedes,s4000290@student.uq.edu.au,P04,Software,1,Female,English
40002910,Stokes,Ethan,s4000291@student.uq.edu.au,P04,Mechanical,0,Female,English
40002920,Stanton,Minnie,s4000292@student.uq.edu.au,P04,Mechanical,1,Male,Other
40002930,Abbott,Elmore,s4000293@student.uq.edu.au,P04,Mechatronic,0,Female,English
40002940,Pfeffer,Kailee,s4000294@student.uq.edu.au,P04,Mechatronic,0,Female,English
40002950,Kub,Candida,s4000295@student.uq.edu.au,P04,Mechanical,0,Male,English
40002960,Rempel,Jarrell,s4000296@student.uq.edu.au,P04,Mechatronic,0,Male,English
40002970,Crist,Finn,s4000297@student.uq.edu.au,P04,Electrical,1,Male,English
40002980,Kub,Wyman,s4000298@student.uq.edu.au,P04,Electrical,0,Male,English
40002990,McDermott,Orin,s4000299@student.uq.edu.au,P04,Mechatronic,0,Male,Other
40003000,Crona,Omari,s4000300@student.uq.edu.au,P04,,,Male,English
40003010,Towne,Ed,s4000301@student.uq.edu.au,P04,Electrical,0,Male,English
40003020,Haag,Lexi,s4000302@student.uq.edu.au,P04,,,Male,Other
40003030,Halvorson,Keaton,s4000303@student.uq.edu.au,P04,,0,Female,English
40003040,Gerhold,Yazmin,s4000304@student.uq.edu.au,P04,Mechanical,1,Male,English
40003050,King,Cathryn,s4000305@student.uq.edu.au,P04,Software,0,Male,English
40003060,Nitzsche,Dandre,s4000306@student.uq.edu.au,P04,Mechanical,0,Female,English
40003070,Hermiston,Giovanny,s4000307@student.uq.edu.au,P04,Mechatronic,0,Male,English
40003080,DuBuque,Burdette,s4000308@student.uq.edu.au,P04,Electrical,0,Male,English
40003090,Lowe,Noel,s4000309@student.uq.edu.au,P04,Electrical,0,Male,English
40003100,Jerde,Andreanne,s4000310@student.uq.edu.au,P04,,,,Other
40003110,Friesen,Anjali,s4000311@student.uq.edu.au,P04,,,,Other
40003120,Flatley,Dovie,s4000312@student.uq.edu.au,P04,,,,Other
40003130,Schuster,Bettye,s4000313@student.uq.edu.au,P04,Electrical,0,Male,Other
40003140,Kunde,Vivian,s4000314@student.uq.edu.au,P04,Mechanical,0,Male,English
40003150,Wintheiser,Carmel,s4000315@student.uq.edu.au,P04,Electrical,0,Male,Other
40003160,Gutkowski,Kimberly,s4000316@student.uq.edu.au,P04,Mechanical,0,Female,English
40003170,Walter,Mekhi,s4000317@student.uq.edu.au,P04,Electrical,0,Male,English
